com.samsung.shealth.sleep_data,6156001,4
start_time,update_time,create_time,sleep_uuid,sleep_status,time_offset,deviceuuid,comment,pkg_name,json_version,datauuid
2020-08-21 02:46:00.000,2020-08-21 03:08:38.282,2020-08-21 03:08:38.282,d0b76fb8-6c3d-d80a-1fe6-4ca45a766fdc,e576551c-16a5-f81a-fbab-a51a870dd1fb.sleep_status.json,UTC+0200,ltHsc2Rtmp,,com.sec.android.app.shealth,1,e576551c-16a5-f81a-fbab-a51a870dd1fb,
2020-07-07 23:24:00.000,2020-07-08 02:02:55.262,2020-07-08 02:02:55.262,818cad31-e280-7a1d-21f1-18bb9e2a6492,58872aa8-75df-2769-d922-4d1122ede476.sleep_status.json,UTC+0200,ltHsc2Rtmp,,com.sec.android.app.shealth,1,58872aa8-75df-2769-d922-4d1122ede476,
2020-07-20 03:38:00.000,2020-07-20 07:15:06.529,2020-07-20 07:15:06.529,35f24a9d-ab79-5373-0cbf-eedb09be753d,ae9eb103-90c1-7009-61c9-b8fd27c39caa.sleep_status.json,UTC+0200,ltHsc2Rtmp,,com.sec.android.app.shealth,1,ae9eb103-90c1-7009-61c9-b8fd27c39caa,
2020-08-22 04:36:00.000,2020-08-22 07:21:46.360,2020-08-22 07:21:46.360,68aa76ec-a822-1e9d-c850-9c45bf070187,8fe2b3a3-3991-31a4-dbc9-8ef8427bd90d.sleep_status.json,UTC+0200,ltHsc2Rtmp,,com.sec.android.app.shealth,1,8fe2b3a3-3991-31a4-dbc9-8ef8427bd90d,
2020-06-10 00:12:00.000,2020-06-10 02:04:32.269,2020-06-10 02:04:32.269,b717ce71-c41c-d4ae-9a47-223744b2eed0,969200cd-c813-47e5-ca18-19f793be0a4c.sleep_status.json,UTC+0200,ltHsc2Rtmp,,com.sec.android.app.shealth,1,969200cd-c813-47e5-ca18-19f793be0a4c,
2020-12-18 22:11:00.000,2020-12-19 00:34:38.265,2020-12-19 00:34:38.265,50a85042-ac98-e468-32c2-6ea0d522b121,bf5e38f8-f8c3-07b5-fed0-614856e69da3.sleep_status.json,UTC+0100,ltHsc2Rtmp,,com.sec.android.app.shealth,1,bf5e38f8-f8c3-07b5-fed0-614856e69da3,
2020-12-17 23:29:00.000,2020-12-18 03:20:29.239,2020-12-18 03:20:29.239,07b9fedf-342a-c26b-fb8e-2828f9e8e280,7f11ace9-831f-5086-72e8-3d37904f3fcf.sleep_status.json,UTC+0100,ltHsc2Rtmp,,com.sec.android.app.shealth,1,7f11ace9-831f-5086-72e8-3d37904f3fcf,
2020-12-17 21:29:00.000,2020-12-17 23:04:08.300,2020-12-17 23:04:08.300,5010de42-e7bf-8c77-8a1c-037a09fc1201,dcab96ea-47e3-2d1a-bb1b-ad512b179a92.sleep_status.json,UTC+0100,ltHsc2Rtmp,,com.sec.android.app.shealth,1,dcab96ea-47e3-2d1a-bb1b-ad512b179a92,
2020-11-27 21:57:00.000,2020-11-27 23:13:28.571,2020-11-27 23:13:28.571,6ea27a1e-fc4a-6391-68ae-1fa9d2afd23b,74a97d1e-5070-05ef-cf97-57359186abf4.sleep_status.json,UTC+0100,ltHsc2Rtmp,,com.sec.android.app.shealth,1,74a97d1e-5070-05ef-cf97-57359186abf4,
2020-06-30 01:38:00.000,2020-06-30 02:04:06.290,2020-06-30 02:04:06.290,b3336523-bff4-044a-c0ca-b1115fc949ea,f449e872-d513-1f22-ecc8-3e3ebc222723.sleep_status.json,UTC+0200,ltHsc2Rtmp,,com.sec.android.app.shealth,1,f449e872-d513-1f22-ecc8-3e3ebc222723,
2021-03-16 21:30:00.000,2021-03-17 04:42:25.332,2021-03-17 04:42:25.332,886b3818-17db-f295-bdf0-31a48e49c251,5fe9ef22-a0b2-9b1a-93b5-337088b5e89a.sleep_status.json,UTC+0100,ltHsc2Rtmp,,com.sec.android.app.shealth,1,5fe9ef22-a0b2-9b1a-93b5-337088b5e89a,
2020-12-18 03:24:00.000,2020-12-18 05:32:39.233,2020-12-18 05:32:39.233,b18fb444-60cf-a305-eded-1846b6c9e869,df53bfb6-d997-4f54-6b48-89cc14b0b377.sleep_status.json,UTC+0100,ltHsc2Rtmp,,com.sec.android.app.shealth,1,df53bfb6-d997-4f54-6b48-89cc14b0b377,
2021-03-15 22:21:00.000,2021-03-16 04:18:33.323,2021-03-16 04:18:33.323,47cab535-0bfa-c69b-9a0a-891e9011b271,b36d58cf-b0c8-a0bd-bed8-f8da4870bc20.sleep_status.json,UTC+0100,ltHsc2Rtmp,,com.sec.android.app.shealth,1,b36d58cf-b0c8-a0bd-bed8-f8da4870bc20,
2021-03-15 21:09:00.000,2021-03-15 22:18:03.274,2021-03-15 22:18:03.274,ede985ee-321e-fa0c-53e6-3b6dc67b9e63,d83c0efb-ac74-cd9e-cce2-4051385f17c1.sleep_status.json,UTC+0100,ltHsc2Rtmp,,com.sec.android.app.shealth,1,d83c0efb-ac74-cd9e-cce2-4051385f17c1,
2020-09-25 03:25:00.000,2020-09-25 03:47:43.262,2020-09-25 03:47:43.262,a5917631-8504-0e8d-c94c-71916042abb5,5af090e5-3678-ca10-8011-d51095502d04.sleep_status.json,UTC+0200,ltHsc2Rtmp,,com.sec.android.app.shealth,1,5af090e5-3678-ca10-8011-d51095502d04,
2021-03-17 05:09:00.000,2021-03-17 07:17:04.241,2021-03-17 07:17:04.241,ffa68bcc-aca1-45e0-c0e7-53cc16fbb46c,c62c270b-f0f6-5f10-802f-029a2771f0ce.sleep_status.json,UTC+0100,ltHsc2Rtmp,,com.sec.android.app.shealth,1,c62c270b-f0f6-5f10-802f-029a2771f0ce,
2021-02-02 05:03:00.000,2021-02-02 05:23:56.237,2021-02-02 05:23:56.237,726d8b8b-201a-4045-e05b-b571b50b4540,5200186c-51ec-b948-cbf9-f9cff22b5378.sleep_status.json,UTC+0100,ltHsc2Rtmp,,com.sec.android.app.shealth,1,5200186c-51ec-b948-cbf9-f9cff22b5378,
