com.samsung.shealth.tracker.pedometer_step_count,6156001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
5920,4,0,10,2021-02-11 06:27:00.000,,,2021-02-11 06:35:03.450,2021-02-11 06:35:03.450,10,1.25,7.4,0.37,UTC+0100,F5JW66Upzd,com.sec.android.app.shealth,2021-02-11 06:28:00.000,fd62e4ad-ccfe-4c85-9576-8b2608bf5af7,
11888,4,0,19,2021-02-11 06:40:00.000,,,2021-02-11 06:40:28.613,2021-02-11 06:40:28.613,19,1.1944444,14.2,0.68,UTC+0100,F5JW66Upzd,com.sec.android.app.shealth,2021-02-11 06:41:00.000,e49cc329-750d-4c90-a676-04d2b029d87d,
48086,4,0,84,2021-02-11 05:44:00.000,230002,,2021-02-11 05:50:01.953,2021-02-11 05:50:01.953,84,1.3055556,62.78,2.76,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 05:44:59.999,caf3f9ef-0fd2-dba4-b6ec-e2160ea59f68,
15544,4,0,31,2021-02-11 06:40:00.000,230002,,2021-02-11 06:42:39.375,2021-02-11 06:42:39.374,31,1.5555556,24.18,1.1,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 06:40:59.999,f60f206e-2043-d58d-0405-c9dac89532f0,
7850,4,0,11,2021-02-11 06:11:00.000,,,2021-02-11 06:15:05.750,2021-02-11 06:15:05.750,11,1.0,7.85,0.42,UTC+0100,F5JW66Upzd,com.sec.android.app.shealth,2021-02-11 06:12:00.000,0a19af04-7a6a-4a90-966c-45af8998a1de,
5467,4,0,10,2021-02-11 06:47:00.000,230002,,2021-02-11 06:52:36.313,2021-02-11 06:52:36.313,10,1.3333334,7.29,0.5,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 06:47:59.999,4b50d159-fc1b-1ae2-b74d-fa81ebd011a5,
41842,4,0,74,2021-02-11 05:46:00.000,230002,,2021-02-11 05:50:01.977,2021-02-11 05:50:01.977,74,1.3333334,55.79,2.47,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 05:46:59.999,808a1f0d-3540-ade3-61ed-0a2b2e55c08e,
28440,4,0,43,2021-02-11 06:13:00.000,230002,,2021-02-11 06:15:00.155,2021-02-11 06:15:00.155,43,1.0833334,30.81,1.43,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 06:13:59.999,a14976bf-e2c1-dc5f-83c8-865fa6ab1e12,
60000,4,0,114,2021-02-11 06:14:00.000,,,2021-02-11 06:15:05.916,2021-02-11 06:15:05.916,114,1.4551666,87.31,4.15,UTC+0100,F5JW66Upzd,com.sec.android.app.shealth,2021-02-11 06:15:00.000,07f6f6dc-65c8-4dca-a398-51e27037311a,
14534,4,0,26,2021-02-11 06:28:00.000,230002,,2021-02-11 06:29:27.288,2021-02-11 06:28:29.679,26,1.3106433,19.05,0.92,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 06:28:59.999,a1c277d0-690b-2bfa-fb96-eded8cccdaa4,
