com.samsung.shealth.tracker.pedometer_day_summary,6156001,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
1503,3825fd1e-6f37-4a63-83af-3f3b72c42e2b.binning_data.json,892279,6000,53,2020-04-15 10:47:25.390,com.sec.android.app.shealth,2020-04-15 10:47:25.390,3825fd1e-6f37-4a63-83af-3f3b72c42e2b.source_info.json,1.2523314,1117.43,57.55,1450,VfS0qUERdZ,com.sec.android.app.shealth,0,3825fd1e-6f37-4a63-83af-3f3b72c42e2b.achievement.json,3825fd1e-6f37-4a63-83af-3f3b72c42e2b,1585094400000,
7001,56dcf6a7-944b-418d-b374-42e2e0cab6b0.binning_data.json,3952492,6000,46,2020-04-20 22:55:03.436,com.sec.android.app.shealth,2020-04-20 18:24:27.529,,3.75,5243.388,248.99,6955,ltHsc2Rtmp,com.sec.android.app.shealth,0,56dcf6a7-944b-418d-b374-42e2e0cab6b0.achievement.json,56dcf6a7-944b-418d-b374-42e2e0cab6b0,1587340800000,
12642,89e1fad4-1b96-4297-bf16-e95aa4a6ccf6.binning_data.json,7376053,6000,47,2020-04-17 23:57:56.547,com.sec.android.app.shealth,2020-04-17 02:10:20.324,89e1fad4-1b96-4297-bf16-e95aa4a6ccf6.source_info.json,1.2746849,9402.145,490.08,12595,VfS0qUERdZ,com.sec.android.app.shealth,0,89e1fad4-1b96-4297-bf16-e95aa4a6ccf6.achievement.json,89e1fad4-1b96-4297-bf16-e95aa4a6ccf6,1587081600000,
8065,df49be71-2545-469e-9ba8-f71744188429.binning_data.json,4754967,6000,0,2020-04-16 22:00:00.454,com.sec.android.app.shealth,2020-04-16 22:00:00.454,,1.9722222,5988.9,324.96,8065,F5JW66Upzd,com.sec.android.app.shealth,5456,df49be71-2545-469e-9ba8-f71744188429.achievement.json,df49be71-2545-469e-9ba8-f71744188429,1586995200000,
8115,67ef8895-0d7f-40ea-b693-e1c4bfd774d6.binning_data.json,4476098,6000,252,2020-04-22 22:35:04.886,com.sec.android.app.shealth,2020-04-22 03:13:35.658,,5.0,6174.393,299.779,7863,ltHsc2Rtmp,com.sec.android.app.shealth,0,67ef8895-0d7f-40ea-b693-e1c4bfd774d6.achievement.json,67ef8895-0d7f-40ea-b693-e1c4bfd774d6,1587513600000,
3008,6bce138e-5e37-4eb2-9c93-27989e3e0785.binning_data.json,1870746,6000,0,2020-04-18 22:00:01.520,com.sec.android.app.shealth,2020-04-18 22:00:01.520,,1.6295046,2186.58,117.56,3008,F5JW66Upzd,com.sec.android.app.shealth,0,6bce138e-5e37-4eb2-9c93-27989e3e0785.achievement.json,6bce138e-5e37-4eb2-9c93-27989e3e0785,1587168000000,
5676,c61f84a8-6069-451c-8811-3bc07d09be15.binning_data.json,3363906,6000,60,2020-04-24 20:59:39.476,com.sec.android.app.shealth,2020-04-24 03:09:20.751,,2.6854033,4210.014,213.78,5616,ltHsc2Rtmp,com.sec.android.app.shealth,0,c61f84a8-6069-451c-8811-3bc07d09be15.achievement.json,c61f84a8-6069-451c-8811-3bc07d09be15,1587686400000,
15491,87f5fdea-3bb0-4b91-9041-c9bced7ddea6.binning_data.json,8978882,6000,59,2020-04-20 18:24:27.615,com.sec.android.app.shealth,2020-04-19 02:15:04.600,87f5fdea-3bb0-4b91-9041-c9bced7ddea6.source_info.json,1.2843763,11532.263,603.631,15432,VfS0qUERdZ,com.sec.android.app.shealth,0,87f5fdea-3bb0-4b91-9041-c9bced7ddea6.achievement.json,87f5fdea-3bb0-4b91-9041-c9bced7ddea6,1587254400000,
2162,bcf2bc1f-39f6-4d40-a6de-e866e438c196.binning_data.json,1365313,6000,0,2020-04-20 22:00:00.476,com.sec.android.app.shealth,2020-04-20 22:00:00.476,,1.5,1575.19,82.84,2162,F5JW66Upzd,com.sec.android.app.shealth,0,bcf2bc1f-39f6-4d40-a6de-e866e438c196.achievement.json,bcf2bc1f-39f6-4d40-a6de-e866e438c196,1587340800000,
3762,b4a0fdf3-79b5-44c6-aaf4-8517cd58db01.binning_data.json,2233452,6000,25,2020-04-26 22:55:04.086,com.sec.android.app.shealth,2020-04-25 23:15:05.211,,3.2777774,2791.822,140.619,3737,ltHsc2Rtmp,com.sec.android.app.shealth,0,b4a0fdf3-79b5-44c6-aaf4-8517cd58db01.achievement.json,b4a0fdf3-79b5-44c6-aaf4-8517cd58db01,1587859200000,
