com.samsung.shealth.stand_day_summary,6156001,1
stand_time,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
4276224,2021-01-26 21:36:49.592,2021-01-25 23:00:05.556,ltHsc2Rtmp,com.sec.android.app.shealth,504083b5-f6ec-4abf-77cf-5c22c6f7f6bb,1611619200000,
2097152,2021-02-01 20:17:25.281,2021-01-31 23:00:05.879,ltHsc2Rtmp,com.sec.android.app.shealth,abf5f84c-12a5-b14a-3e10-23e85c4b6cd0,1612137600000,
4263424,2021-02-07 21:12:27.242,2021-02-06 23:00:12.264,ltHsc2Rtmp,com.sec.android.app.shealth,1ec70ca2-c7c9-4c9a-9272-69d5beffeffb,1612656000000,
2099456,2021-02-13 20:47:45.239,2021-02-12 23:00:04.351,ltHsc2Rtmp,com.sec.android.app.shealth,8b690b10-65af-fb4e-30dc-4a0d9bddaebd,1613174400000,
4522240,2021-02-19 21:02:11.591,2021-02-18 23:00:03.745,ltHsc2Rtmp,com.sec.android.app.shealth,94e1c093-a86f-e2fd-a858-7bc71de10e78,1613692800000,
512,2021-02-25 08:21:19.116,2021-02-24 23:00:03.523,ltHsc2Rtmp,com.sec.android.app.shealth,2ff257c0-5364-0b42-f2b0-e89a026d1422,1614211200000,
1114112,2021-03-03 19:25:37.231,2021-03-02 23:00:04.664,ltHsc2Rtmp,com.sec.android.app.shealth,09205abb-734b-be1f-30f9-034666e70de6,1614729600000,
262144,2021-03-09 17:42:39.277,2021-03-08 23:00:16.948,ltHsc2Rtmp,com.sec.android.app.shealth,499ef4ee-6ecd-e0de-74a1-5c4a102048b2,1615248000000,
532992,2021-03-15 18:35:00.561,2021-03-14 23:00:04.713,ltHsc2Rtmp,com.sec.android.app.shealth,3c5591ab-fc50-3d2c-93c2-d9526d51fa1d,1615766400000,
1319936,2020-04-08 18:08:01.255,2020-04-07 22:00:12.572,ltHsc2Rtmp,com.sec.android.app.shealth,9be3d836-9e1d-6abc-2446-624f0329e0da,1586304000000,
20480,2020-04-14 12:04:16.372,2020-04-13 22:00:03.938,ltHsc2Rtmp,com.sec.android.app.shealth,90d88b4b-fb26-f8c7-8c51-befaea084edc,1586822400000,
0,2020-04-06 20:08:58.582,2020-04-05 22:00:08.821,ltHsc2Rtmp,com.sec.android.app.shealth,10ad7008-7b17-171d-af7a-580da59b4d95,1586131200000,
5046273,2020-03-29 20:09:01.262,2020-03-28 23:00:11.683,ltHsc2Rtmp,com.sec.android.app.shealth,b02eb1f2-c4c0-1e8f-f746-11053f95e7ef,1585440000000,
3148288,2020-04-18 19:55:02.088,2020-04-17 22:00:06.230,ltHsc2Rtmp,com.sec.android.app.shealth,56992ff0-b10f-77e6-39a0-56b120cf663a,1587168000000,
3507232,2020-04-24 19:58:59.244,2020-04-23 22:00:06.559,ltHsc2Rtmp,com.sec.android.app.shealth,b5aa6860-87b5-ce8a-b5bf-31aef140a27f,1587686400000,
137248,2020-04-30 15:27:31.344,2020-04-29 22:00:05.500,ltHsc2Rtmp,com.sec.android.app.shealth,e864243e-cdf4-d38e-ae75-bedf38ab1285,1588204800000,
4723744,2020-05-06 20:13:40.582,2020-05-05 22:00:17.079,ltHsc2Rtmp,com.sec.android.app.shealth,c596396b-2172-c532-4c2c-aa85a12ba521,1588723200000,
13705233,2020-05-12 21:24:40.274,2020-05-11 22:00:03.067,ltHsc2Rtmp,com.sec.android.app.shealth,c8892ec9-aefc-4eb1-4f8e-32c6aafbfd6d,1589241600000,
12544,2020-05-18 11:59:51.386,2020-05-17 22:00:06.944,ltHsc2Rtmp,com.sec.android.app.shealth,1b5337b7-a807-4696-e16f-0053f240e5c1,1589760000000,
9447680,2020-05-24 21:03:21.269,2020-05-23 22:00:05.969,ltHsc2Rtmp,com.sec.android.app.shealth,6b210778-9b5c-dd24-b1c9-9ae14b3e8f13,1590278400000,
4231168,2020-05-30 20:46:40.792,2020-05-29 22:00:11.851,ltHsc2Rtmp,com.sec.android.app.shealth,acbcc00c-1649-6218-980b-4ca101ba1c40,1590796800000,
2101248,2020-06-05 19:14:11.285,2020-06-04 22:00:11.862,ltHsc2Rtmp,com.sec.android.app.shealth,d9aa911a-9e61-0f2b-f0b4-47e9e6e9821e,1591315200000,
9506816,2020-06-11 21:28:51.408,2020-06-10 22:00:13.665,ltHsc2Rtmp,com.sec.android.app.shealth,58cecf4a-b255-dcc0-c067-d410b4f7a9fe,1591833600000,
10092544,2020-06-17 21:33:36.288,2020-06-17 10:59:42.928,ltHsc2Rtmp,com.sec.android.app.shealth,b68ebdeb-dac6-64fe-ba7c-a905f69b96e9,1592352000000,
2101248,2020-06-23 19:03:20.157,2020-06-22 22:00:14.125,ltHsc2Rtmp,com.sec.android.app.shealth,629cc0df-200b-0c2e-2070-d377e8b66044,1592870400000,
1245184,2020-06-29 18:53:32.252,2020-06-28 22:00:05.417,ltHsc2Rtmp,com.sec.android.app.shealth,c4258c0d-ae75-0c3e-9edb-04b89595688c,1593388800000,
0,2020-07-04 22:00:11.602,2020-07-04 22:00:11.602,ltHsc2Rtmp,com.sec.android.app.shealth,18ec7ead-31a1-b012-6ecc-f794116a62af,1593907200000,
1064960,2020-07-11 18:48:08.271,2020-07-10 22:00:15.957,ltHsc2Rtmp,com.sec.android.app.shealth,6794b3f1-30f3-c423-198b-39fdd54945b3,1594425600000,
4206592,2020-07-17 20:28:55.704,2020-07-16 22:00:03.881,ltHsc2Rtmp,com.sec.android.app.shealth,acb94525-174a-8a0f-d67b-6e8d8349a92c,1594944000000,
4329472,2020-07-23 20:17:45.285,2020-07-22 22:00:06.874,ltHsc2Rtmp,com.sec.android.app.shealth,47068cc2-6281-4957-0961-ed1841a0ee62,1595462400000,
1024,2020-07-29 08:13:54.304,2020-07-28 22:00:05.369,ltHsc2Rtmp,com.sec.android.app.shealth,7f4f1fe1-6392-fa0b-a932-0bb815b23cd6,1595980800000,
4608,2020-08-04 10:27:58.342,2020-08-03 22:00:10.748,ltHsc2Rtmp,com.sec.android.app.shealth,0a6e91db-db06-862c-2b12-f6e547f601e6,1596499200000,
32768,2020-08-10 13:19:55.399,2020-08-09 22:00:11.124,ltHsc2Rtmp,com.sec.android.app.shealth,d5cbc54a-1c6d-d1d5-4fcf-2039b8f5f4b9,1597017600000,
558080,2020-08-16 17:45:03.275,2020-08-15 22:00:07.716,ltHsc2Rtmp,com.sec.android.app.shealth,601c69f2-2786-8e3c-dd87-1c32ed9884b5,1597536000000,
1024,2020-08-22 08:15:41.342,2020-08-21 22:00:12.020,ltHsc2Rtmp,com.sec.android.app.shealth,4fd0381c-f921-ff91-45a2-2d460588b61c,1598054400000,
51200,2020-08-28 13:29:48.104,2020-08-27 22:00:09.437,ltHsc2Rtmp,com.sec.android.app.shealth,5185aaf1-743a-cf9a-15b3-83941212beaf,1598572800000,
2654208,2020-09-03 19:02:35.292,2020-09-02 22:00:09.360,ltHsc2Rtmp,com.sec.android.app.shealth,5413b71b-3d9b-033d-ccf5-684f7b66e548,1599091200000,
0,2020-09-09 03:21:48.476,2020-09-09 03:21:48.476,ltHsc2Rtmp,com.sec.android.app.shealth,cac4070c-b029-0a75-f030-a876fc0a0d48,1599609600000,
0,2020-09-14 22:00:04.061,2020-09-14 22:00:04.061,ltHsc2Rtmp,com.sec.android.app.shealth,149a9705-d8d3-7dc6-1edd-2b38496cdde5,1600128000000,
2359296,2020-09-22 19:30:18.219,2020-09-21 22:00:08.007,ltHsc2Rtmp,com.sec.android.app.shealth,76c0990d-32f9-7dd4-4717-2b8d97c70af8,1600732800000,
1573120,2020-09-28 18:17:02.240,2020-09-27 22:00:03.994,ltHsc2Rtmp,com.sec.android.app.shealth,1da63e18-e72d-23d0-f428-3a73b9ca6566,1601251200000,
1024,2020-10-04 08:25:39.379,2020-10-03 22:00:02.858,ltHsc2Rtmp,com.sec.android.app.shealth,1b1012f0-6a53-12fe-a1b2-ecfa51fd3e46,1601769600000,
4239616,2020-10-10 20:04:09.987,2020-10-10 04:01:45.647,ltHsc2Rtmp,com.sec.android.app.shealth,325de0b8-74a9-11a1-1262-3100bb50f623,1602288000000,
0,2020-11-10 15:30:27.545,2020-11-10 15:30:27.544,ltHsc2Rtmp,com.sec.android.app.shealth,a350f542-1fa2-4f67-6182-558c53811e49,1604966400000,
600064,2020-11-16 18:03:08.247,2020-11-15 23:00:04.337,ltHsc2Rtmp,com.sec.android.app.shealth,cf7119b2-2f7f-ee3e-70f8-b83b60e28e40,1605484800000,
279040,2020-11-22 17:13:10.351,2020-11-21 23:00:09.840,ltHsc2Rtmp,com.sec.android.app.shealth,902d28ae-3a12-9ae7-ea1e-ab418ee1014b,1606003200000,
5522432,2020-11-28 21:20:58.376,2020-11-27 23:00:02.589,ltHsc2Rtmp,com.sec.android.app.shealth,404535bd-c013-ea80-21cf-5a213f16cfe8,1606521600000,
131328,2020-12-04 16:59:25.236,2020-12-03 23:00:10.824,ltHsc2Rtmp,com.sec.android.app.shealth,f0e95168-8aeb-e2ab-dccb-6fab2e607f34,1607040000000,
1575424,2020-12-10 19:29:14.290,2020-12-09 23:00:03.107,ltHsc2Rtmp,com.sec.android.app.shealth,893cb098-26a7-c949-9c1d-d2c85b06ed18,1607558400000,
