com.samsung.shealth.rewards,6156001,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2020-04-18 22:00:00.000,,100003,,2020-04-25 10:15:03.227,2020-04-25 10:15:03.227,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,f7ab96ee-fc08-484c-b292-98d43c22609c,1,
,2020-04-18 22:00:00.000,,100003,,2020-04-24 20:59:39.642,2020-04-24 20:59:39.642,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,6c477353-d4a2-43f8-9f7e-f657e75de722,1,
,2020-04-18 22:00:00.000,,100003,,2020-04-25 10:43:00.278,2020-04-25 10:43:00.278,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,36f0473c-9792-4a78-b80d-9b53818ba406,1,
,2020-04-24 22:00:00.000,,2399999,,2020-05-22 10:36:40.621,2020-04-25 15:35:04.239,,,tracker_pedometer_reward_target_achieved,UTC+0200,"{""mTarget"":6000,""mValue"":7772}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-24 22:00:00.000,dac34050-78ab-43ce-bed1-337bc0d0e4ba,1,
,2020-04-18 22:00:00.000,,100003,,2020-04-25 15:35:04.737,2020-04-25 15:35:04.737,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,7905c317-8fab-4f2a-b054-249798f2407b,1,
,2020-04-18 22:00:00.000,,100003,,2020-04-25 23:15:05.519,2020-04-25 23:15:05.519,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,00b2206a-8432-49b6-9b55-61997a5e7345,1,
,2020-04-18 22:00:00.000,,100003,,2020-04-26 08:34:33.982,2020-04-26 08:34:33.982,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,6ef85524-310a-4bf5-96f4-e5fdd906c112,1,
,2020-04-18 22:00:00.000,,100003,,2020-04-26 02:16:22.016,2020-04-26 02:16:22.016,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,633b8710-31f4-4869-b3db-35e9d1b775fe,1,
,2020-04-11 22:00:00.000,,100003,,2020-05-06 17:08:11.506,2020-04-15 10:47:01.862,,,tracker_pedometer_reward_target_achieved,UTC+0200,"{""mTarget"":6000,""mValue"":9120}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-11 22:00:00.000,196b86a8-870f-4b29-a486-79551d35676b,1,
,2020-04-18 22:00:00.000,,100003,,2020-04-26 16:55:03.547,2020-04-26 16:55:03.547,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,31c50018-4e50-4aaf-aed0-38cf6d279421,1,
