com.samsung.shealth.exercise,6156001,11
live_data_internal,mission_value,subset_data,total_calorie,completion_status,pace_info_id,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,reward_status,heart_rate_sample_count,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid
,0,,86.06,0,,,,4,0,,,0,,0.0,,,,,654240,,,,2020-03-27 13:14:50.245,11007,,,,,,,,,2020-03-27 13:27:51.243,2020-03-27 13:27:51.243,,,,,,,,86.06,,,,UTC+0100,ltHsc2Rtmp,,,0d5143f6-e831-35ef-4882-f62d8f7e608a.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,2020-03-27 13:25:44.485,0d5143f6-e831-35ef-4882-f62d8f7e608a,
,0,,68.0,0,,,,4,0,,,0,,0.0,,,,,707667,,,,2020-03-31 16:22:02.026,1001,,,,,30001,,,,2020-03-31 16:34:51.098,2020-03-31 16:34:51.098,,3.0,,,805,594.36,,68.0,,,,UTC+0200,ltHsc2Rtmp,,,f8919db0-76d4-e96a-dd82-12037492e3ba.com.samsung.health.exercise.live_data.json,,1.3578405,com.sec.android.app.shealth,,,,2020-03-31 16:33:49.693,f8919db0-76d4-e96a-dd82-12037492e3ba,
,0,,157.0,0,,,,4,0,,,0,,0.0,,,,,1264399,,,,2020-03-29 07:45:39.857,1001,,,,,30001,,,,2020-03-29 08:07:45.653,2020-03-29 08:07:45.653,,1.3363419,,,2023,1488.928,,157.0,,,,UTC+0200,ltHsc2Rtmp,,,e510eeb7-80c9-102d-130f-27489e2c2bc8.com.samsung.health.exercise.live_data.json,,1.2621311,com.sec.android.app.shealth,,,,2020-03-29 08:06:44.256,e510eeb7-80c9-102d-130f-27489e2c2bc8,
,0,,81.0,0,,,,4,0,,,0,,0.0,,,,,1225371,,,,2020-03-29 08:11:16.896,1001,,,,,30001,,,,2020-03-29 08:32:43.546,2020-03-29 08:32:43.546,,1.3933333,,,2022,1482.899,,81.0,,,,UTC+0200,ltHsc2Rtmp,,,241e8345-3998-e38d-1c12-2725f20e66a8.com.samsung.health.exercise.live_data.json,,1.248281,com.sec.android.app.shealth,,,,2020-03-29 08:31:42.267,241e8345-3998-e38d-1c12-2725f20e66a8,
,0,,101.0,0,,,,4,0,,,0,,0.0,,,,,850159,,,,2020-03-31 16:03:36.019,1001,,,,,30001,,,,2020-03-31 16:18:47.536,2020-03-31 16:18:47.536,,2.3055556,,,990,707.24,,101.0,,,,UTC+0200,ltHsc2Rtmp,,,e941b988-0c5f-eb23-ad37-1b3035b98efa.com.samsung.health.exercise.live_data.json,,1.1743486,com.sec.android.app.shealth,,,,2020-03-31 16:17:46.178,e941b988-0c5f-eb23-ad37-1b3035b98efa,
,0,,82.0,0,,,,4,0,,,0,,0.0,,,,,1321407,,,,2020-04-07 14:35:57.046,1001,,,,,30001,,,,2020-04-07 14:58:58.939,2020-04-07 14:58:58.939,,1.3971688,,,2244,1675.84,,82.0,,,,UTC+0200,ltHsc2Rtmp,,,2895d95d-967b-d103-902b-ea9a03b2035a.com.samsung.health.exercise.live_data.json,,1.3196888,com.sec.android.app.shealth,,,,2020-04-07 14:57:58.453,2895d95d-967b-d103-902b-ea9a03b2035a,
,0,,23.0,0,,,,4,0,,,0,,0.0,,,,,636667,,,,2020-03-28 09:27:56.739,0,,,,,,,,,2020-03-28 09:39:33.083,2020-03-28 09:39:33.083,,,,,,,,23.0,,,,UTC+0100,ltHsc2Rtmp,,,0eb66b16-8475-e97c-ef1f-0016c644f5be.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,2020-03-28 09:38:33.406,0eb66b16-8475-e97c-ef1f-0016c644f5be,
,0,,81.46,0,,,,4,0,,,0,,0.0,,,,,674720,,,,2020-04-01 14:20:49.267,11007,,,,,,,,,2020-04-01 14:34:10.296,2020-04-01 14:34:10.296,,,,,,,,81.46,,,,UTC+0200,ltHsc2Rtmp,,,12193937-b99b-4842-c4b4-f11d816a8d59.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,2020-04-01 14:32:03.987,12193937-b99b-4842-c4b4-f11d816a8d59,
,0,,92.4,0,,,,4,0,,,0,,0.0,,,,,766880,,,,2020-04-01 16:05:20.087,11007,,,,,,,,,2020-04-01 16:20:13.275,2020-04-01 16:20:13.275,,,,,,,,92.4,,,,UTC+0200,ltHsc2Rtmp,,,64e58034-dd2b-f235-1515-038ec1d40eba.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,2020-04-01 16:18:06.967,64e58034-dd2b-f235-1515-038ec1d40eba,
,0,,175.45,0,,,,4,0,,,0,,0.0,,,,,1253280,,,,2020-04-15 13:18:16.048,11007,,,,,,,,,2020-04-15 13:41:15.348,2020-04-15 13:41:15.348,,,,,,,,175.45,,,,UTC+0200,ltHsc2Rtmp,,,7222f492-d5ad-b4cb-8998-8b1550aa4d7a.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,2020-04-15 13:39:09.328,7222f492-d5ad-b4cb-8998-8b1550aa4d7a,
,0,,213.98,0,,,,4,0,,,0,,0.0,,,,,1299360,,,,2020-04-15 13:47:17.859,11007,,,,,,,,,2020-04-15 14:11:06.337,2020-04-15 14:11:06.337,,,,,,,,213.98,,,,UTC+0200,ltHsc2Rtmp,,,2d2b6096-965d-1da1-2144-602192a6080e.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,2020-04-15 14:08:57.219,2d2b6096-965d-1da1-2144-602192a6080e,
,0,,88.0,0,,,,4,0,,,0,,0.0,,,,,783732,,,,2020-04-01 12:49:48.267,1001,,,,,30001,,,,2020-04-01 13:03:52.315,2020-04-01 13:03:52.315,,1.9549953,,,1192,905.51,,88.0,,,,UTC+0200,ltHsc2Rtmp,,,50ec946f-19fa-9dd1-cd0b-85ae46d038dc.com.samsung.health.exercise.live_data.json,,1.3388877,com.sec.android.app.shealth,,,,2020-04-01 13:02:51.999,50ec946f-19fa-9dd1-cd0b-85ae46d038dc,
,0,,187.0,0,,,,4,0,,,0,,0.0,,,,,1359920,,,,2020-04-16 07:59:45.104,1001,,,,,30001,,,,2020-04-16 08:23:26.562,2020-04-16 08:23:26.562,,1.4722222,,,2160,1594.489,,187.0,,,,UTC+0200,ltHsc2Rtmp,,,c06c8169-183a-bfde-3618-c4d22583cc38.com.samsung.health.exercise.live_data.json,,1.2784767,com.sec.android.app.shealth,,,,2020-04-16 08:22:25.024,c06c8169-183a-bfde-3618-c4d22583cc38,
,0,,81.0,0,,,,4,0,,,0,,0.0,,,,,690260,,,,2020-03-30 14:39:13.608,1001,,,,,30001,,,,2020-03-30 14:51:44.422,2020-03-30 14:51:44.422,,1.3611112,,,1077,784.109,,81.0,,,,UTC+0200,ltHsc2Rtmp,,,9c52ad77-a7c8-0f33-39e5-3257a60e3198.com.samsung.health.exercise.live_data.json,,1.2822269,com.sec.android.app.shealth,,,,2020-03-30 14:50:43.868,9c52ad77-a7c8-0f33-39e5-3257a60e3198,
,0,,68.64,0,,,,4,0,,,0,,0.0,,,,,654240,,,,2020-04-16 16:00:52.282,11007,,,,,,,,,2020-04-16 16:13:54.360,2020-04-16 16:13:54.360,,,,,,,,68.64,,,,UTC+0200,ltHsc2Rtmp,,,861e9a29-f33e-d1d1-ebc0-bb1370fd278f.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,2020-04-16 16:11:46.522,861e9a29-f33e-d1d1-ebc0-bb1370fd278f,
,0,,158.0,0,,,,4,0,,,0,,0.0,,,,,1503191,,,,2020-04-17 08:20:56.955,1001,,,,,30001,,,,2020-04-17 08:47:00.413,2020-04-17 08:47:00.413,,1.4444444,,,2444,1798.606,,158.0,,,,UTC+0200,ltHsc2Rtmp,,,b58208ef-29ac-4f07-34b1-30c76eb0e611.com.samsung.health.exercise.live_data.json,,1.2791888,com.sec.android.app.shealth,,,,2020-04-17 08:46:00.146,b58208ef-29ac-4f07-34b1-30c76eb0e611,
